A : 1, 0, 1, 0, 3, 1, 10, 7, 35, 36, 127, 165, 474, 715, 1807, 3004, 6995, 12393, 27370, 50559
B : 0, 1, 0, 2, 0, 6, 2, 20, 14, 70, 72, 254, 330, 948, 1430, 3614, 6008, 13990, 24786, 54740
C : 0, 0, 1, 0, 3, 1, 10, 7, 35, 36, 127, 165, 474, 715, 1807, 3004, 6995, 12393, 27370, 50559
D : 0, 0, 0, 1, 1, 4, 5, 15, 22, 57, 93, 220, 385, 859, 1574, 3381, 6385, 13380, 25773, 53143
E : 0, 0, 0, 1, 1, 4, 5, 15, 22, 57, 93, 220, 385, 859, 1574, 3381, 6385, 13380, 25773, 53143
a : 0, 1, 0, 2, 0, 6, 2, 20, 14, 70, 72, 254, 330, 948, 1430, 3614, 6008, 13990, 24786, 54740
b : 0, 0, 1, 0, 3, 1, 10, 7, 35, 36, 127, 165, 474, 715, 1807, 3004, 6995, 12393, 27370, 50559
c : 0, 0, 0, 1, 1, 4, 5, 15, 22, 57, 93, 220, 385, 859, 1574, 3381, 6385, 13380, 25773, 53143
d : 0, 0, 0, 1, 1, 4, 5, 15, 22, 57, 93, 220, 385, 859, 1574, 3381, 6385, 13380, 25773, 53143
e : 0, 0, 1, 0, 3, 1, 10, 7, 35, 36, 127, 165, 474, 715, 1807, 3004, 6995, 12393, 27370, 50559
time= 210.61191542449885
